iter	Passed	Remaining
0	16	16752
1	28	14049
2	31	10514
3	44	11022
4	58	11737
5	69	11589
6	73	10403
7	77	9607
8	90	9912
9	101	10080
10	108	9758
11	116	9582
12	126	9635
13	137	9693
14	147	9682
15	179	11058
16	192	11116
17	201	10992
18	211	10903
19	215	10539
20	223	10402
21	230	10267
22	235	10012
23	250	10206
24	254	9926
25	262	9839
26	273	9854
27	277	9620
28	291	9768
29	305	9871
30	313	9810
31	326	9891
32	336	9857
33	350	9971
34	354	9787
35	358	9610
36	368	9599
37	383	9718
38	391	9649
39	401	9630
40	404	9449
41	407	9301
42	421	9370
43	438	9524
44	452	9608
45	463	9607
46	480	9744
47	495	9832
48	513	9974
49	525	9976
50	534	9950
51	555	10131
52	568	10162
53	583	10215
54	604	10394
55	628	10596
56	638	10557
57	653	10621
58	666	10626
59	688	10789
60	702	10809
61	712	10777
62	719	10701
63	726	10628
64	730	10504
65	732	10368
66	737	10270
67	741	10164
68	745	10061
69	749	9952
70	753	9859
71	757	9758
72	761	9670
73	765	9575
74	769	9492
75	778	9460
76	786	9428
77	793	9379
78	805	9390
79	815	9380
80	821	9319
81	825	9236
82	830	9177
83	834	9095
84	838	9023
85	843	8968
86	847	8890
87	850	8815
88	853	8739
89	857	8668
90	860	8595
91	863	8527
92	867	8456
93	870	8394
94	874	8327
95	877	8264
96	880	8200
97	884	8141
98	887	8078
99	891	8019
100	894	7960
101	898	7906
102	901	7849
103	905	7799
104	908	7745
105	913	7703
106	916	7649
107	920	7599
108	923	7548
109	927	7504
110	930	7454
111	934	7406
112	937	7358
113	941	7315
114	944	7268
115	947	7221
116	950	7175
117	954	7132
118	957	7088
119	961	7047
120	964	7004
121	967	6964
122	970	6923
123	974	6883
124	977	6845
125	981	6809
126	984	6770
127	988	6732
128	992	6700
129	995	6662
130	998	6625
131	1002	6591
132	1006	6558
133	1009	6527
134	1013	6493
135	1016	6460
136	1020	6427
137	1023	6394
138	1026	6360
139	1030	6327
140	1033	6294
141	1036	6264
142	1039	6231
143	1043	6201
144	1046	6172
145	1050	6143
146	1053	6112
147	1056	6082
148	1060	6059
149	1064	6030
150	1067	6001
151	1077	6013
152	1081	5988
153	1085	5963
154	1088	5934
155	1092	5908
156	1095	5880
157	1098	5854
158	1101	5827
159	1105	5802
160	1108	5776
161	1111	5751
162	1115	5726
163	1119	5704
164	1122	5678
165	1125	5655
166	1128	5631
167	1132	5606
168	1135	5582
169	1139	5564
170	1142	5539
171	1145	5516
172	1149	5492
173	1151	5468
174	1155	5445
175	1157	5421
176	1160	5397
